id,name,line
0,changping_xishankou,changping
1,shisanling_jingqu,changping
2,changping,changping
3,changping_dongguan,changping
4,beishaowa,changping
5,nanshao,changping
6,shahe_gaojiaoyuan,changping
7,shahe,changping
8,gonghuacheng,changping
9,zhuxinzhuang,changping
10,shengming_kexueyuan,changping
11,xierqi,changping
12,qinghe_zhan,changping
13,beianhe,16
14,wenyang_lu,16
15,daoxianghu_lu,16
16,tundian,16
17,yongfeng,16
18,yongfengnan,16
19,xibeiwang,16
20,malianwa,16
21,nongda_nanlu,16
22,xiyuan,16
23,wanquanheqiao,16
24,suzhouqiao,16
25,wanshousi,16
26,guojia_tushuguan,16
27,guanjiakou,16
28,yuyuantan_dongmen,16
29,anheqiaobei,4
30,beigongmen,4
31,xiyuan,4
32,yuanmingyuan,4
33,beijing_daxue_dongmen,4
34,zhongguancun,4
35,haidian_huangzhuang,4
36,renmin_daxue,4
37,weigongcun,4
38,guojia_tushuguan,4
39,dongwuyuan,4
40,xizhimen,4
41,xinjiekou,4
42,pinganli,4
43,xisi,4
44,lingjing_hutong,4
45,xidan,4
46,xuanwumen,4
47,caishikou,4
48,taoranting,4
49,beijingnan_zhan,4
50,majiapu,4
51,jiaomenxi,4
52,gongyi_xiqiao,4
53,xingong,daxing
54,xihongmen,daxing
55,gaomidianbei,daxing
56,gaomidiannan,daxing
57,zaoyuan,daxing
58,qingyuan_lu,daxing
59,huangcun_xidajie,daxing
60,huangcun_huochezhan,daxing
61,yihezhuang,daxing
62,shengwu_yiyao_jidi,daxing
63,tiangongyuan,daxing
5211,gongyi_xiqiao,daxing
64,xizhimen,2
65,jishuitan,2
66,gulou_dajie,2
67,andingmen,2
68,yonghegong,2
69,dongzhimen,2
70,dongsi_shitiao,2
71,chaoyangmen,2
72,jianguomen,2
73,beijing_zhan,2
74,chongwenmen,2
75,qianmen,2
76,hepingmen,2
77,xuanwumen,2
78,changchun_jie,2
79,fuxingmen,2
80,fuchengmen,2
81,chegongzhuang,2
82,zhuxinzhuang,8
83,yuzhi_lu,8
84,pingxifu,8
85,huilongguan_dongdajie,8
86,huoying,8
87,yuxin,8
